stop_id,stop_name,stop_lat,stop_lon
22298,Clutha Avenue at Cockayne Road (near 47),-41.248641,174.787373
22299,Cockayne Road at Lucknow Terrace,-41.249675,174.786875
22300,Calcutta Street (near 39),-41.251271,174.787945
22301,Waru Street at Calcutta Street (near 7),-41.252343,174.789669
22302,Punjab Street at Waru Street (near 36),-41.253741,174.786663
22303,Punjab Street at Cockayne Road (near 10),-41.252204,174.785249
22304,Cockayne Road at Bankot Crescent (near 155),-41.252223,174.782887
22305,Cockayne Road at Setsan Way (near 205),-41.252781,174.779393
22306,Cockayne Road at Quetta Street,-41.252555,174.777072
22307,Perth Street at Crofton Road (near 1),-41.254838,174.775021
22308,Perth Street at Orari Street Walkway (near 15),-41.254671,174.773620
22324,Ngaio Gorge Road (near 17),-41.256295,174.773389
22325,Ngaio Gorge Road (near 67),-41.256451,174.775601
22326,Ngaio Gorge Road (near 105),-41.256300,174.778366
22327,Kaiwharawhara Road (near 68),-41.257565,174.782781
22328,Kaiwharawhara Road (near 36),-41.258641,174.787751
22329,Kaiwharawhara Road at Hutt Road,-41.259612,174.789066
10359,Wellington Station - Stop D,-41.278356,174.779021
10385,Thorndon Quay - Capital Gateway (opposite),-41.275951,174.781976
10387,Thorndon Quay at Davis Street (near 125),-41.274245,174.783398
10386,Thorndon Quay (opposite Bordeaux Bakery),-41.271443,174.781735
10395,Thorndon Quay at Motorway (Hirequip),-41.269735,174.780937
10399,Hutt Road at Sar Street,-41.267039,174.781676
10409,Hutt Road at Aotea Quay,-41.263657,174.784879
10412,Kaiwharawhara - Hutt Road (Fore St),-41.259538,174.790353
10438,Hutt Road at Rangiora Avenue,-41.255530,174.796725
21990,Ngauranga - Hutt Road (opposite motorway),-41.247640,174.812322
21991,Ngauranga Commercial Centre - Centennial Hwy,-41.244582,174.813229
21989,Ngauranga Gorge (Kiwi Point),-41.237620,174.805115
21992,Newlands Bus Depot - Newlands Road (opposite),-41.231151,174.812168
21993,Newlands Road (opposite 72),-41.230399,174.814796
21994,Newlands Road at Salford Street,-41.228662,174.818136
21995,Newlands Road at Stella Grove (near 143),-41.226432,174.819029
21996,Newlands Park (Northpac Timber),-41.223888,174.821595
21969,Kenmore Street Plunket Rooms,-41.223507,174.825223
21970,Kenmore Street (near 72),-41.225447,174.827281
21971,Link Road (near 29),-41.227616,174.825647
21972,Glanmire Road at Turville Cres (near 85),-41.228797,174.823854
21973,Kenmore Street (near 5),-41.228552,174.825721
21974,Kenmore Street at Barclay Street (near 35),-41.227843,174.828373
21975,Somes Crescent at Dress Circle (near 10),-41.227149,174.830155
21976,Somes Crescent at Sunhaven Dr (near 23),-41.226373,174.831375
21977,Somes Crescent at Baylands Dr (near 45),-41.225147,174.830875
21978,Baylands Drive at Bayswater Place (near 79),-41.222909,174.830002
21979,Horokiwi Road at Bloomsbury Grove,-41.222299,174.829258
21980,Horokiwi Road at Pinkerton Grove (near 44),-41.222952,174.827236
21997,Newlands Shops - Bracken Road,-41.222826,174.823236
21998,Bracken Road (near 29),-41.221643,174.822869
21999,Bracken Road at Trebann Street (near 45),-41.220806,174.822262
22000,Newlands College - Bracken Road (opposite),-41.219126,174.822549
22040,Beazley Avenue at Bracken Road (near 110),-41.217368,174.820974
22041,Beazley Avenue at Beverley Grove (near 92),-41.216232,174.820490
22042,Paparangi School - Beazley Avenue (opposite),-41.215053,174.819264
22043,Paparangi Shops,-41.213853,174.817681
22044,Mark Avenue (near 37),-41.212614,174.816836
22045,Mark Avenue (near 75),-41.211405,174.815848
22046,Mark Avenue Park,-41.207829,174.818743
22047,Guadeloupe Crescent at Mandeville Cres,-41.209117,174.821582
22048,Guadeloupe Crescent (near 39),-41.208818,174.823410
22049,Grenada Village - Guadeloupe Crescent,-41.206819,174.823379
22051,Mark Avenue at Buccaneer Place (near 134),-41.207472,174.820809
22052,Grenada Grounds - Mark Avenue (opposite),-41.207989,174.819428
22053,Mark Avenue (near 64),-41.211280,174.816310
22054,Mark Avenue (near 40),-41.212224,174.816992
22055,Paparangi Shops (opposite),-41.213881,174.818182
22056,Paparangi School - Beazley Avenue,-41.214568,174.819156
22057,Beazley Avenue at Beverley Grove (near 91),-41.216430,174.821056
22001,Bracken Road at Carluke Street,-41.218216,174.820306
22002,Helston Road at Paparangi Crescent,-41.217898,174.817613
22003,Helston Road at Warren Street (near 168),-41.216771,174.815960
22004,Helston Road (near 142),-41.216953,174.815261
22005,Helston Road at McMahon Way (near 112),-41.217465,174.813665
22006,Helston Park - Helston Road,-41.219167,174.813103
22007,Helston Road at Hardy Street,-41.220774,174.812289
21957,Helston Road at Petherick Crescent,-41.221924,174.810161
10616,Middleton Road (near 25),-41.219307,174.808157
10642,Middleton Road (near 59),-41.217319,174.809140
10643,Middleton Road (near 71),-41.215992,174.809915
10645,Middleton Road at Churton Drive,-41.214057,174.810971
10711,Middleton Road at Wingfield Place (opposite),-41.211061,174.811330
22093,Halswater Drive at Dormar Place,-41.207706,174.811083
22094,Burbank Crescent at Wantwood Street,-41.205536,174.809867
22095,Burbank Crescent at Longmont Terrace,-41.203647,174.810280
22096,Lakewood Avenue at Westchester Drive,-41.202492,174.808138
22097,Westchester Drive (near 111),-41.202694,174.806712
22100,Amesbury Drive at Derry Hill,-41.201935,174.804569
22101,Amesbury Drive at Claverton Grove,-41.200383,174.802988
22102,Amesbury Drive at Erlestoke Crescent,-41.199282,174.801432
22103,Erlestoke Crescent (near 17),-41.199962,174.799972
22104,Waverton Terrace at Sandy Brow,-41.201802,174.799783
22105,Waverton Terrace (near 30),-41.202937,174.802116
22106,Waverton Terrace (near 12),-41.204881,174.802765
22098,Westchester Drive at Waverton Terrace,-41.206242,174.803899
22099,Halswater Drive at Lakewood Avenue,-41.207052,174.805066
10714,Middleton Road at Wingfield Place,-41.210453,174.812184
10646,Middleton Road at Churton Drive (near 122),-41.214058,174.811520
10644,Middleton Road (near 76),-41.215892,174.810544
22485,Middleton Road (near 48),-41.218599,174.809652
10615,Middleton Road (near 18),-41.219824,174.808529
22058,Bassett Road (near 15),-41.219208,174.807009
