stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_short_name
102094,southbound East Saanich FS Haldon (Stop ID: 102094),48.60659,-123.419101,0,,East Saanich at Haldon
102095,northbound Sunriver NS Riverstone (Stop ID: 102095),48.397033,-123.721248,0,,Sunriver at Riverstone
102096,northbound East Saanich NS Haldon (Stop ID: 102096),48.606766,-123.419131,0,,East Saanich at Haldon
102097,westbound 5460 block Sooke (Stop ID: 102097),48.394831,-123.655124,0,,5460 Sooke
102098,southbound West Saanich FS Mt Newton Cross (Stop ID: 102098),48.599037,-123.465876,0,,West Saanich at Mt Newton Cross
102099,northbound West Saanich FS Mt Newton Cross (Stop ID: 102099),48.599529,-123.466075,0,,West Saanich at Mt Newton Cross
102100,southbound 8380 block Lochside (Stop ID: 102100),48.610104,-123.399202,0,,8380 Lochside
102101,northbound 8390 block Lochside (Stop ID: 102101),48.610389,-123.39929,0,,8390 Lochside
102102,westbound Sooke NS Ludlow (Stop ID: 102102),48.394189,-123.657958,0,,Sooke at Ludlow
102103,eastbound 5460 block Sooke (Stop ID: 102103),48.394628,-123.655582,0,,5460 Sooke
