service_id,date,exception_type
73,20160430,2
73,20160501,2
73,20160502,1
73,20160503,1
73,20160504,1
73,20160505,2
73,20160506,1
73,20160507,2
73,20160508,2
73,20160509,1
73,20160510,1
73,20160511,1
73,20160512,1
73,20160513,1
73,20160514,2
73,20160515,2
73,20160516,2
73,20160517,2
73,20160518,1
73,20160519,1
73,20160520,1
73,20160521,2
73,20160522,2
73,20160523,1
73,20160524,1
73,20160525,1
73,20160526,1
73,20160527,1
73,20160528,2
73,20160529,2
73,20160530,1
73,20160531,1
73,20160601,1
73,20160602,1
73,20160603,1
73,20160604,2
73,20160605,2
73,20160606,1
73,20160607,1
73,20160608,1
73,20160609,1
73,20160610,1
73,20160611,2
73,20160612,2
73,20160613,1
73,20160614,1
73,20160615,1
73,20160616,1
73,20160617,1
73,20160618,2
73,20160619,2
73,20160620,1
73,20160621,1
73,20160622,1
73,20160623,1
73,20160624,1
74,20160329,1
74,20160330,1
74,20160331,1
74,20160401,1
74,20160402,2
74,20160403,2
74,20160404,1
74,20160405,1
74,20160406,1
74,20160407,1
74,20160408,1
74,20160409,2
74,20160410,2
74,20160411,1
74,20160412,1
74,20160413,1
74,20160414,1
74,20160415,1
74,20160416,2
74,20160417,2
74,20160418,1
74,20160419,1
74,20160420,1
74,20160421,1
74,20160422,1
74,20160423,2
74,20160424,2
74,20160425,1
74,20160426,1
74,20160427,1
74,20160428,1
74,20160429,1
74,20160430,2
74,20160501,2
74,20160502,1
74,20160503,1
74,20160504,1
74,20160505,2
74,20160506,1
74,20160507,2
74,20160508,2
74,20160509,1
74,20160510,1
74,20160511,1
74,20160512,1
74,20160513,1
74,20160514,2
74,20160515,2
74,20160516,2
74,20160517,2
74,20160518,1
74,20160519,1
74,20160520,1
74,20160521,2
74,20160522,2
74,20160523,1
74,20160524,1
74,20160525,1
74,20160526,1
74,20160527,1
74,20160528,2
74,20160529,2
74,20160530,1
74,20160531,1
74,20160601,1
74,20160602,1
74,20160603,1
74,20160604,2
74,20160605,2
74,20160606,1
