stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
F01399,"Vágóhíd utca",47.473144,19.080301,,
F01400,"Török Pál utca",47.487815,19.061128,,
F01401,"Vágóhíd H",47.467574,19.075887,,
F01403,"Vágóhíd H",47.467925,19.075781,,
F01404,"Vágóhíd H",47.467658,19.076503,,
F01405,"Budapest, Vágóhíd",47.466314,19.077213,0,008272
F01407,"Soroksári út H",47.466288,19.076138,,
F01408,"József Attila ltp., Távíró utca",47.460632,19.114891,,
F01411,"Helyi kikötő út",47.463143,19.072708,,
F01412,"Helyi kikötő út",47.46344,19.073092,,
F01413,"Magyar Aszfalt",47.459718,19.087873,,
F01414,"Magyar Aszfalt",47.459838,19.08768,,
F01415,"Kén utca",47.455068,19.086397,0,008274
F01416,"Kén utca",47.454744,19.086715,0,008274
F01417,"Kén utca H (Illatos út)",47.454879,19.087378,,
F01418,"Kén utca H",47.455089,19.086549,,
F01419,"Kén utca H",47.454384,19.087152,,
F01420,"Kén utca H (Illatos út)",47.454762,19.087551,,
F01421,"Illatos út",47.454674,19.090501,,
F01422,"Gubacsi út",47.454392,19.089964,,
F01423,"Gubacsi út",47.453888,19.091966,,
F01424,"Illatos út",47.453645,19.091263,,
F01425,"Külső Mester utca",47.454381,19.096847,,
F01426,"Külső Mester utca",47.454416,19.097536,,
F01427,"Timót utca",47.452083,19.091944,0,008874
F01428,"Timót utca",47.451831,19.092236,,
F01429,"Soroksári út 150. (Timót utca)",47.45146,19.088755,,
F01430,"Soroksári út 150. (Timót utca)",47.450885,19.088914,,
F01431,"Szabadkai út",47.444083,19.09286,,
F01432,"Szabadkai út",47.443291,19.093031,,
F01434,"Gubacsi út",47.444414,19.097235,,
F01435,"Gubacsi út",47.444531,19.097448,,
F01436,"Gubacsi út",47.444084,19.09699,,
F01437,"Gubacsi út",47.444282,19.096539,,
F01438,"Gubacsi út",47.44448,19.097746,,
F01439,"Gubacsi út",47.443572,19.096472,,
F01440,"Határ út",47.44213,19.0949,,
F01441,"Baross utca",47.441618,19.095112,,
F01442,"Ősz utca",47.446026,19.100227,,
F01443,"Ősz utca",47.446113,19.100194,,
F01444,"Jókai Mór utca",47.448956,19.104486,,
F01445,"Jókai Mór utca",47.448633,19.104141,,
F01446,"Jókai Mór utca (Határ út)",47.448596,19.10495,,
F01447,"Mártírok útja",47.451743,19.108653,,
F01448,"Mártírok útja",47.451886,19.108998,,
F01449,"Mártírok útja",47.450866,19.110635,,
F01450,"Határ út",47.451811,19.109482,,
F01451,"Nagykőrösi út (Határ út)",47.455445,19.114625,,
F01452,"Nagykőrösi út",47.455419,19.114068,,
F01453,"Nagykőrösi út (Határ út)",47.455689,19.113684,,
F01454,"Nagykőrösi út",47.455544,19.114413,,
F01455,"Mészáros Lőrinc utca",47.459675,19.120844,,
F01456,"Mészáros Lőrinc utca",47.459289,19.120075,,
F01457,"Mészáros Lőrinc utca",47.459561,19.120267,,
F01458,"Mészáros Lőrinc utca",47.459756,19.12038,,
F01459,"Határ út M",47.46452,19.12625,,
F01460,"Határ út M",47.464838,19.125965,,
F01461,"Határ út M",47.465054,19.126164,,
F01463,"Kőér utcai uszoda",47.466493,19.126219,,
F01464,"Kőér utcai uszoda",47.466564,19.126432,,
F01465,"Pöttyös utca M",47.468774,19.117441,,
F01466,"Pöttyös utca M",47.468765,19.116791,,
F01467,"Friss utca",47.463437,19.117892,,
F01468,"Pöttyös utca",47.464994,19.11605,,
F01469,"Napfény utca",47.4654,19.114326,,
F01470,"Lobogó utca",47.462107,19.114892,,
F01471,"Lobogó utca",47.461711,19.115515,,
F01474,"Táblás utca",47.45534,19.103319,,
F01475,"Táblás utca",47.455564,19.105176,,
F01476,"Aszódi utca",47.463647,19.100814,,
F01477,"Zombori utca",47.468168,19.101011,,
F01478,"Füleki utca",47.466296,19.102243,,
F01479,"Gyáli út",47.464803,19.103913,,
F01481,"Ecseri út",47.468488,19.108095,,
F01482,"Közterületfenntartó Zrt.",47.46777,19.106503,,
F01483,"Epreserdő utca",47.468462,19.107286,,
F01484,"Közterületfenntartó Zrt.",47.467808,19.107663,,
F01485,"Közterületfenntartó Zrt.",47.468177,19.107624,,
F01486,"Ecseri út",47.468083,19.108281,,
F01487,"Ifjúmunkás utca",47.468172,19.111027,,
F01488,"Ifjúmunkás utca",47.468433,19.110921,,
F01489,"Ecseri út M",47.470421,19.110976,,
F01490,"Ecseri út M",47.470511,19.110751,,
F01491,"Ecseri út M",47.471063,19.109126,,
F01492,"Péceli utca",47.469509,19.099381,,
F01493,"Ecseri út",47.471348,19.110142,0,008078
F01494,"Ecseri út",47.470744,19.111321,0,008078
