route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
247,EMT,247,Atocha - Colonia San Jose Obrero,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=247,0178BC,FFFFFF
310,EMT,310,Pacifico - Estacion el Pozo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=310,0178BC,FFFFFF
372,EMT,172SF,Mar de Cristal - las Tablas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=172SF,0178BC,FFFFFF
401,EMT,E1,Atocha - Plaza Eliptica,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=E1,0178BC,FFFFFF
402,EMT,E2,Avenida de Felipe II - las Rosas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=E2,0178BC,FFFFFF
403,EMT,E3,Avenida de Felipe II - Puerta de Arganda,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=E3,0178BC,FFFFFF
451,EMT,T11,Mar de Cristal - Parque Empresarial Cristalia,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=T11,0178BC,FFFFFF
452,EMT,T23,Puerta de Arganda - Poligono Industrial de Vicalvaro,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=T23,0178BC,FFFFFF
453,EMT,T32,Plaza de Legazpi - Mercamadrid - C. T. M,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=T32,0178BC,FFFFFF
454,EMT,T31,Estacion el Pozo - Sierra de Guadalupe,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=T31,0178BC,FFFFFF
455,EMT,T61,Estacion Cercanias de Fuencarral - Telefonica,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=T61,0178BC,FFFFFF
456,EMT,T41,Villaverde Alto - Poligono Industrial la Resina,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=T41,0178BC,FFFFFF
